Coil_Turns (Np=Ns),Area_Scale_Factor,Primary_Area_m2,Mutual_Inductance_uH,Primary_Current_Peak_A,Required_Primary_Voltage_Vpp,Resulting_Secondary_Voltage_Vpp
50,1.0,0.003848451000647497,1.193993970274119,5.0,3.1165848257566804,1.5004170741774727
50,5.0,0.019242255003237486,29.849849256852977,5.0,6.968895528036273,37.51042685443682
50,10.0,0.03848451000647497,119.39939702741191,5.0,9.85550657051011,150.0417074177473
50,15.0,0.05772676500971245,268.6486433116767,5.0,12.070481127198367,337.59384168993137
50,20.0,0.07696902001294995,477.59758810964763,5.0,13.937791056072546,600.1668296709892
100,1.0,0.003848451000647497,4.775975881096476,5.0,6.233169651513361,6.001668296709891
100,5.0,0.019242255003237486,119.39939702741191,5.0,13.937791056072546,150.0417074177473
100,10.0,0.03848451000647497,477.59758810964763,5.0,19.71101314102022,600.1668296709892
100,15.0,0.05772676500971245,1074.594573246707,5.0,24.140962254396733,1350.3753667597255
100,20.0,0.07696902001294995,1910.3903524385905,5.0,27.875582112145093,2400.6673186839566
150,1.0,0.003848451000647497,10.745945732467069,5.0,9.34975447727004,13.503753667597254
150,5.0,0.019242255003237486,268.6486433116767,5.0,20.90668658410882,337.59384168993137
150,10.0,0.03848451000647497,1074.594573246707,5.0,29.56651971153033,1350.3753667597255
150,15.0,0.05772676500971245,2417.8377898050903,5.0,36.21144338159509,3038.344575209381
150,20.0,0.07696902001294995,4298.378292986828,5.0,41.81337316821764,5401.501467038902
212,1.0,0.003848451000647497,21.465146,5.0,13.214319661208322,26.973897992732937
212,5.0,0.019242255003237486,536.62865,5.0,29.5481170388738,674.3474498183234
212,10.0,0.03848451000647497,2146.5146,5.0,41.787347858962875,2697.3897992732936
212,15.0,0.05772676500971245,4829.6578500000005,5.0,51.178839979321054,6069.12704836491
212,20.0,0.07696902001294995,8586.0584,5.0,59.0962340777476,10789.559197093175
300,1.0,0.003848451000647497,42.983782929868276,5.0,18.69950895454008,54.015014670389014
300,5.0,0.019242255003237486,1074.594573246707,5.0,41.81337316821764,1350.3753667597255
300,10.0,0.03848451000647497,4298.378292986828,5.0,59.13303942306066,5401.501467038902
300,15.0,0.05772676500971245,9671.351159220361,5.0,72.42288676319018,12153.378300837525
300,20.0,0.07696902001294995,17193.51317194731,5.0,83.62674633643527,21606.005868155607
400,1.0,0.003848451000647497,76.41561409754361,5.0,24.932678606053443,96.02669274735825
400,5.0,0.019242255003237486,1910.3903524385905,5.0,55.751164224290186,2400.6673186839566
400,10.0,0.03848451000647497,7641.561409754362,5.0,78.84405256408088,9602.669274735827
400,15.0,0.05772676500971245,17193.51317194731,5.0,96.56384901758693,21606.005868155607
400,20.0,0.07696902001294995,30566.24563901745,5.0,111.50232844858037,38410.677098943306
