Turns,Drive_Current_A,TX_Current_A,RX_Flux_Wb,Mutual_Inductance_uH,RX_Voltage_V
50,2.5,2.5,2.9998490371314218e-06,1.1999396148525687,0.3769721478772195
50,5.0,5,5.99970948189542e-06,1.199941896379084,0.7539457292798271
100,2.5,2.5,1.1980582651271828e-05,4.792233060508731,1.5055244177184355
100,5.0,5,2.3961323382104403e-05,4.7922646764208805,3.0110687003003407
150,2.5,2.5,2.6914851400684797e-05,10.765940560273918,3.3822199773140924
150,5.0,5,5.383016199249155e-05,10.766032398498309,6.7644976582863965
212,2.5,2.5,5.366286515070824e-05,21.465146060283296,6.74347451712179
212,5.0,5,0.00010732626426957926,21.465252853915853,13.487016134661868
300,2.5,2.5,0.00010718934404680951,42.875737618723804,13.469810232022624
300,5.0,5,0.00021437691916175158,42.875383832350316,26.93939817351087
400,2.5,2.5,0.00019006158686639873,76.02463474655949,23.883843401163862
400,5.0,5,0.00038011141454934774,76.02228290986955,47.76620909975423
