Frequency_Hz,TX_Current_A,RX_Flux_Wb,Mutual_Inductance_uH,RX_Voltage_V,L_TX_uH
10000,2.5,9.409078429018808e-08,0.03763631371607523,0.005911898333931136,3.237396036402729
10500,2.5,9.403782941750692e-08,0.03761513176700277,0.006203999635208967,3.234768695617181
11000,2.5,9.398017148003952e-08,0.03759206859201581,0.006495443158705625,3.2322612383919056
11500,2.5,9.391892440928008e-08,0.03756756976371203,0.006786265068016736,3.2298547244913296
12000,2.5,9.385490856259098e-08,0.03754196342503639,0.007076493389845863,3.2275334984882447
12500,2.5,9.378873261842981e-08,0.03751549304737192,0.0073661498345889125,3.2252845547838995
13000,2.5,9.372085102203987e-08,0.037488340408815955,0.0076552511635346225,3.22309703277298
13500,2.5,9.365160593973434e-08,0.03746064237589374,0.007943810324863201,3.2209618334252257
14000,2.5,9.358125706306123e-08,0.03743250282522449,0.00823183731168431,3.2188713095878514
14500,2.5,9.351000353556774e-08,0.037404001414227096,0.008519339864190362,3.2168190209907594
15000,2.5,9.343799972086182e-08,0.03737519988834472,0.00880632400467554,3.214799534182583
15500,2.5,9.336536679489616e-08,0.03734614671795846,0.009092794463099428,3.2128082623731373
16000,2.5,9.329220130296764e-08,0.03731688052118706,0.009378755016019945,3.2108413331858863
16500,2.5,9.321858150126111e-08,0.03728743260050445,0.00966420875713997,3.208895479906547
17000,2.5,9.314457193873959e-08,0.037257828775495834,0.00994915829943335,3.2069679512697338
17500,2.5,9.307022694671129e-08,0.03722809077868452,0.010233605943530304,3.2050564361049276
18000,2.5,9.299559318094019e-08,0.037198237272376075,0.010517553804724808,3.203159000067103
18500,2.5,9.292071158939718e-08,0.03716828463575887,0.010801003921136691,3.20127403242302
19000,2.5,9.284561871316361e-08,0.037138247485265445,0.011083958319356404,3.199400200702559
19500,2.5,9.277034787331617e-08,0.037108139149326466,0.011366419090641405,3.1975364120924734
20000,2.5,9.269492992933603e-08,0.03707797197173441,0.011648388435640911,3.195681780576656
